"tag","class","text_preview","href","is_valid","type"
"andes-modal","andes-modal--iframe","",""
"a","","Mouse Razer Deathadder Essential Ergonomic White Edition","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-razer-deathadder-essential-ergonomic-white-edition-181547.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$39.640$36.367$36.366Precio especial",""
"div","price","$39.640$36.367$36.366Precio especial",""
"h6","mb-0 ft solo_web ","$36.367",""
"h4","mt-0 pecio_final ft","$36.366Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-889 marca_ ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"img","w-100 thumbZoom","","https://statics.qloud.ar/274/01-09-2025-11-09-01_week9.png"
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-tt-talon-elit-rgb-5000dpi-+-mouse-pad-dasher-mini-black-181548.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","MO-TER-WDOTBK-01                                                    
                               ",""
"h6","card-category text-gray","MO-TER-WDOTBK-01                                                    
                               ",""
"span","pull-left articulo_field","MO-TER-WDOTBK-01",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Mouse Tt Talon Elit Rgb 5000dpi + Mouse Pad Dasher Mini Black",""
"a","","Mouse Tt Talon Elit Rgb 5000dpi + Mouse Pad Dasher Mini Black","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-tt-talon-elit-rgb-5000dpi-+-mouse-pad-dasher-mini-black-181548.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$42.357$38.860$38.860Precio especial",""
"div","price","$42.357$38.860$38.860Precio especial",""
"h6","mb-0 ft solo_web ","$38.860",""
"h4","mt-0 pecio_final ft","$38.860Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-1003 marca_ ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/kit-teclado-mouse/teclado+mouse-tt-challenger-elite-rgb-combo-esp-181558.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","CM-CEL-WLXXMB-SP                                                    
                               ",""
"h6","card-category text-gray","CM-CEL-WLXXMB-SP                                                    
                               ",""
"span","pull-left articulo_field","CM-CEL-WLXXMB-SP",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Teclado+mouse Tt Challenger Elite Rgb Combo Esp",""
"a","","Teclado+mouse Tt Challenger Elite Rgb Combo Esp","https://www.noxiestore.com/teclados-y-mouses/kit-teclado-mouse/teclado+mouse-tt-challenger-elite-rgb-combo-esp-181558.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$42.538$39.026$39.026Precio especial",""
"div","price","$42.538$39.026$39.026Precio especial",""
"h6","mb-0 ft solo_web ","$39.026",""
"h4","mt-0 pecio_final ft","$39.026Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-889 marca_2914 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-hyperx-pulsefire-core-rgb-black-181541.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","4P4F8AA                                                    
                                        ",""
"h6","card-category text-gray","4P4F8AA                                                    
                                        ",""
"span","pull-left articulo_field","4P4F8AA",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Mouse Hyperx Pulsefire Core Rgb Black",""
"a","","Mouse Hyperx Pulsefire Core Rgb Black","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-hyperx-pulsefire-core-rgb-black-181541.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$46.176$42.363$42.364Precio especial",""
"div","price","$46.176$42.363$42.364Precio especial",""
"h6","mb-0 ft solo_web ","$42.363",""
"h4","mt-0 pecio_final ft","$42.364Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-889 marca_2918 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-logitech-g403-hero-gaming-13700.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","910-005631                                                    
                                     ",""
"h6","card-category text-gray","910-005631                                                    
                                     ",""
"span","pull-left articulo_field","910-005631",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Mouse Logitech G403 Hero Gaming",""
"a","","Mouse Logitech G403 Hero Gaming","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-logitech-g403-hero-gaming-13700.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$61.117$56.071$56.071Precio especial",""
"div","price","$61.117$56.071$56.071Precio especial",""
"h6","mb-0 ft solo_web ","$56.071",""
"h4","mt-0 pecio_final ft","$56.071Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-890 marca_2914 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"img","w-100 thumbZoom","","https://statics.qloud.ar/274/01-09-2025-11-09-01_week9.png"
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-hyperx-alloy-core-rgb-gaming-silencioso-162673.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","4P4F5AI#AC8                                                    
                                    ",""
"h6","card-category text-gray","4P4F5AI#AC8                                                    
                                    ",""
"span","pull-left articulo_field","4P4F5AI#AC8",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Teclado Hyperx Alloy Core Rgb Gaming Silencioso",""
"a","","Teclado Hyperx Alloy Core Rgb Gaming Silencioso","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-hyperx-alloy-core-rgb-gaming-silencioso-162673.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$73.394$67.334$67.334Precio especial",""
"div","price","$73.394$67.334$67.334Precio especial",""
"h6","mb-0 ft solo_web ","$67.334",""
"h4","mt-0 pecio_final ft","$67.334Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-889 marca_2918 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-logitech-g502-gaming-hero-19376.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","910-005550                                                    
                                     ",""
"h6","card-category text-gray","910-005550                                                    
                                     ",""
"span","pull-left articulo_field","910-005550",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Mouse Logitech G502 Gaming Hero",""
"a","","Mouse Logitech G502 Gaming Hero","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-logitech-g502-gaming-hero-19376.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$76.799$70.458$70.458Precio especial",""
"div","price","$76.799$70.458$70.458Precio especial",""
"h6","mb-0 ft solo_web ","$70.458",""
"h4","mt-0 pecio_final ft","$70.458Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-889 marca_2914 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-gamer-hyperx-pulsefire-haste-2-black-183604.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","6N0A7AA                                                    
                                        ",""
"h6","card-category text-gray","6N0A7AA                                                    
                                        ",""
"span","pull-left articulo_field","6N0A7AA",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Mouse Gamer Hyperx Pulsefire Haste 2 Black",""
"a","","Mouse Gamer Hyperx Pulsefire Haste 2 Black","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-gamer-hyperx-pulsefire-haste-2-black-183604.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$79.321$72.772$72.773Precio especial",""
"div","price","$79.321$72.772$72.773Precio especial",""
"h6","mb-0 ft solo_web ","$72.772",""
"h4","mt-0 pecio_final ft","$72.773Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-889 marca_3095 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-razer-basilisk-v3-ergonomic-black-181544.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","RZ01-04000100-R3M1                                                    
                             ",""
"h6","card-category text-gray","RZ01-04000100-R3M1                                                    
                             ",""
"span","pull-left articulo_field","RZ01-04000100-R3M1",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Mouse Razer Basilisk V3 Ergonomic Black",""
"a","","Mouse Razer Basilisk V3 Ergonomic Black","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-razer-basilisk-v3-ergonomic-black-181544.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$91.254$83.719$83.719Precio especial",""
"div","price","$91.254$83.719$83.719Precio especial",""
"h6","mb-0 ft solo_web ","$83.719",""
"h4","mt-0 pecio_final ft","$83.719Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-1003 marca_ ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/kit-teclado-mouse/combo-logitech-teclado-y-mouse-pop-blanco-150949.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","920-013055                                                    
                                     ",""
"h6","card-category text-gray","920-013055                                                    
                                     ",""
"span","pull-left articulo_field","920-013055",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Combo Logitech Teclado Y Mouse Pop Blanco",""
"a","","Combo Logitech Teclado Y Mouse Pop Blanco","https://www.noxiestore.com/teclados-y-mouses/kit-teclado-mouse/combo-logitech-teclado-y-mouse-pop-blanco-150949.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$106.500$97.706$97.706Precio especial",""
"div","price","$106.500$97.706$97.706Precio especial",""
"h6","mb-0 ft solo_web ","$97.706",""
"h4","mt-0 pecio_final ft","$97.706Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-890 marca_2929 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-corsair-k65-rgb-mini-60-por-ciento-mecanico-cherry-mx-speed-white-181549.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","CH-9194114-NA                                                    
                                  ",""
"h6","card-category text-gray","CH-9194114-NA                                                    
                                  ",""
"span","pull-left articulo_field","CH-9194114-NA",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Teclado Corsair K65 Rgb Mini 60-por-ciento Mecanico Cherry Mx Speed White",""
"a","","Teclado Corsair K65 Rgb Mini 60-por-ciento Mecanico Cherry Mx Speed White","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-corsair-k65-rgb-mini-60-por-ciento-mecanico-cherry-mx-speed-white-181549.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$122.404$112.297$112.296Precio especial",""
"div","price","$122.404$112.297$112.296Precio especial",""
"h6","mb-0 ft solo_web ","$112.297",""
"h4","mt-0 pecio_final ft","$112.296Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-890 marca_2914 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-hyperx-alloy-origins-60-switch-hyperx-hkbo1s-rb-us-g-13096.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","4P5N4AA#ABA                                                    
                                    ",""
"h6","card-category text-gray","4P5N4AA#ABA                                                    
                                    ",""
"span","pull-left articulo_field","4P5N4AA#ABA",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Teclado Hyperx Alloy Origins 60 Switch Hyperx Hkbo1s-rb-us-g",""
"a","","Teclado Hyperx Alloy Origins 60 Switch Hyperx Hkbo1s-rb-us-g","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-hyperx-alloy-origins-60-switch-hyperx-hkbo1s-rb-us-g-13096.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$128.988$118.338$118.338Precio especial",""
"div","price","$128.988$118.338$118.338Precio especial",""
"h6","mb-0 ft solo_web ","$118.338",""
"h4","mt-0 pecio_final ft","$118.338Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-890 marca_2918 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-logitech-g515-tkl-white--mechanical-us-920-012869-183572.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","920-012869                                                    
                                     ",""
"h6","card-category text-gray","920-012869                                                    
                                     ",""
"span","pull-left articulo_field","920-012869",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Teclado Logitech G515 Tkl White  Mechanical Us 920-012869",""
"a","","Teclado Logitech G515 Tkl White  Mechanical Us 920-012869","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-logitech-g515-tkl-white--mechanical-us-920-012869-183572.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$164.748$151.145$151.146Precio especial",""
"div","price","$164.748$151.145$151.146Precio especial",""
"h6","mb-0 ft solo_web ","$151.145",""
"h4","mt-0 pecio_final ft","$151.146Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-890 marca_2929 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"img","w-100 thumbZoom","","https://statics.qloud.ar/274/01-09-2025-11-09-01_week9.png"
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-corsair-k70-rgb-tkl-champion-series-c-teclas-pbt-double-shot-pro-181550.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","CH-911901A-NA                                                    
                                  ",""
"h6","card-category text-gray","CH-911901A-NA                                                    
                                  ",""
"span","pull-left articulo_field","CH-911901A-NA",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Teclado Corsair K70 Rgb Tkl Champion Series C-teclas Pbt Double Shot Pro",""
"a","","Teclado Corsair K70 Rgb Tkl Champion Series C-teclas Pbt Double Shot Pro","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-corsair-k70-rgb-tkl-champion-series-c-teclas-pbt-double-shot-pro-181550.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$167.009$153.219$153.220Precio especial",""
"div","price","$167.009$153.219$153.220Precio especial",""
"h6","mb-0 ft solo_web ","$153.219",""
"h4","mt-0 pecio_final ft","$153.220Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-889 marca_3095 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-razer-cobra-pro-lightweight-wireless-w-razer-chroma-rgb-181545.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","RZ01-04660100-R3U1                                                    
                             ",""
"h6","card-category text-gray","RZ01-04660100-R3U1                                                    
                             ",""
"span","pull-left articulo_field","RZ01-04660100-R3U1",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Mouse Razer Cobra Pro Lightweight Wireless W-razer Chroma Rgb",""
"a","","Mouse Razer Cobra Pro Lightweight Wireless W-razer Chroma Rgb","https://www.noxiestore.com/teclados-y-mouses/mouses/mouse-razer-cobra-pro-lightweight-wireless-w-razer-chroma-rgb-181545.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$172.950$158.670$158.670Precio especial",""
"div","price","$172.950$158.670$158.670Precio especial",""
"h6","mb-0 ft solo_web ","$158.670",""
"h4","mt-0 pecio_final ft","$158.670Precio especial",""
"div","col-md-3 listado- pull-left prod-cat cat-890 marca_3095 ","contabilium                                                                        
                ",""
"div","card card-ecommerce mt-0 ta-c **","contabilium                                                                        
                ",""
"span","filtros_cucarda","contabilium",""
"span","pull-left","",""
"button","btn btn-success btn-just-icon btn-link addFavoritos","",""
"div","view overlay px-20 imagen","",""
"a","","","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-razer-blackwidow-v4-x-mechanical-rgb-green-switch-minecraft-edition-181554.html"
"img","img-fluid p-4 mh-100","",""
"div","card-body px-3 pb-0 pt-0","RZ03-04704100-R3M1                                                    
                             ",""
"h6","card-category text-gray","RZ03-04704100-R3M1                                                    
                             ",""
"span","pull-left articulo_field","RZ03-04704100-R3M1",""
"span","pull-right","En stock",""
"span","btn-blue-link et","En stock",""
"h4","card-title mb-1 h-40*","Teclado Razer Blackwidow V4 X Mechanical Rgb (green Switch) Minecraft Edition",""
"a","","Teclado Razer Blackwidow V4 X Mechanical Rgb (green Switch) Minecraft Edition","https://www.noxiestore.com/teclados-y-mouses/teclados/teclado-razer-blackwidow-v4-x-mechanical-rgb-green-switch-minecraft-edition-181554.html"
"div","card-description lh-20 ","",""
"span","a12c","",""
"div","card-footer justify-content-between p-0","$218.144$200.132$200.132Precio especial",""
"div","price","$218.144$200.132$200.132Precio especial",""
"h6","mb-0 ft solo_web ","$200.132",""
"h4","mt-0 pecio_final ft","$200.132Precio especial",""
"ul","pagination pagination-info mt-4","1",""
"li","active","1",""
"a","","1","javascript:void(0);"
"h5","t-shadow mt-0 mb-0","1124691756 (solo texto)",""
"a","text-white","1124691756 (solo texto)","https://web.whatsapp.com/send?phone=5491124691756"
"h5","t-shadow mt-0 mb-0","de Lunes a Viernes de 10:00 a 18:00",""
"div","col-md-3 pull-left mt-0 pt-0","",""
"div","col-md-6 pull-left mt-0 pt-0","",""
"span","bmd-form-group","",""
"div","result","",""
"div","col-md-3 pull-left mt-0 pt-0","",""
"div","","",""
"div","","",""
"div","","",""
"a","","Sobre Nosotros","https://www.noxiestore.com/sobre-nosotros/"
"a","","Datos Bancarios","https://www.noxiestore.com/datos-bancarios/"
"a","","Libro de quejas online","https://www.noxiestore.com/libro-de-quejas-online/"
"ul","social-buttons","",""
"a","btn btn-just-icon btn-round btn-facebook","","https://www.facebook.com/NoXieStore/"
"a","btn btn-just-icon btn-round btn-instagram","","https://www.instagram.com/noxiestore/"
"a","btn btn-just-icon btn-round btn-google","","https://www.youtube.com/@NOXIESTORE-ul9lq"
"a","btn btn-just-icon btn-round btn-tiktok","","https://www.tiktok.com/@noxie_store"
"img","","","https://www.noxiestore.com/assets/img/tiktok.png"
"a","","","tel:"
"img","","","https://www.noxiestore.com/images/tarjetas.png?v=823"
"img","","","https://www.noxiestore.com/images/mp.png?v=823"
"span","bmd-form-group nombre","",""
"span","bmd-form-group email","",""
"p","","Hecho en  qloud.ar",""
"a","","Hecho en  qloud.ar","https://www.qloud.ar"
"span","","Hecho en",""
"div","copyright pull-right col-md-6 ta-l dataFiscal","",""
"a","","","http://qr.afip.gob.ar/?qr=gzgTqw6u09juPBatSlV3Sg,,"
"img","","","https://www.afip.gob.ar/images/f960/DATAWEB.jpg"
"div","","",""
"div","modal-header","",""
"h3","modal-title","",""
"div","modal-body","",""
"p","","",""
"span","","",""
"div","modal-header","",""
"div","modal-dialog","",""
"div","modal-content bg-none","",""
"div","container px-15","",""
"div","container","",""
"div","col-md-12","",""
"div","form-group md-form my-0 waves-light waves-effect waves-light bmd-form-group","",""
"button","btn btn-red btn-raised btn-fab p-4","",""
"div","modal-header","",""
"h3","modal-title","",""
"div","modal-body","",""
"p","","",""
"span","","",""
"div","modal-header","",""
"h3","modal-title","",""
"div","modal-body","",""
"p","","",""
"span","","",""
"h4","modal-title ta-l titulo","",""
"span","bmd-form-group","",""
"span","bmd-form-group","",""
"span","bmd-form-group","",""
"img","col-6 pl-0 pull-left captcha mt-4","","https://www.noxiestore.com/inc/captcha2.php"
"span","bmd-form-group","",""
"p","py-3","",""
"div","","",""
"div","modal-header","",""
"h3","modal-title","",""
"div","modal-body","",""
"p","","",""
"span","","",""
"div","","",""
"a","","","https://wa.me/5491124691756?text=Hola Noxie Store"
"div","animated infinite pulse","",""
"div","container","0",""
"button","indicator__button","",""
"span","indicator__area","",""
"img","","","../../img/Logos/1040-logos-logo-web-3764.png"
"a","indicator__button cargarCarrito","0","javascript:void(0);"
"span","indicator__area","0",""
"span","indicator__value spanCarrito","0",""
"a","indicator__button btnLoginHeader","","javascript:void(0);"
"span","indicator__area","",""
"div","slick-slide slick-current slick-active slick-center","Mes de la primavera, Ofertas hasta 50% Off!",""
"div","","Mes de la primavera, Ofertas hasta 50% Off!",""
"div","topbar__item topbar__item--link","Mes de la primavera, Ofertas hasta 50% Off!",""
"div","slick-slide slick-cloned","Mes de la primavera, Ofertas hasta 50% Off!",""
"div","","Mes de la primavera, Ofertas hasta 50% Off!",""
"div","topbar__item topbar__item--link","Mes de la primavera, Ofertas hasta 50% Off!",""
"div","site-header__middle container","",""
"div","site-header__logo","",""
"a","","","/"
"img","","","../../img/Logos/1040-logos-logo-web-3764.png"
"div","social-links footer-newsletter__social-links social-links--shape--circle mt-0 ml-2","",""
"ul","social-links__list","",""
"li","social-links__item","",""
"a","social-links__link","","https://api.whatsapp.com/send?phone=+5491143720598&text=Consulta%20desde%20el%20sitio%20web"
"li","social-links__item","",""
"a","social-links__link","","https://facebook.com/NEXTGAMESARG"
"li","social-links__item","",""
"a","social-links__link","","https://instagram.com/nextgamesarg"
"li","social-links__item","",""
"a","social-links__link","","https://g.page/r/CYmEDEVEBXMpEB0/review"
"a","","","/"
"img","","","../../img/Logos/1040-logos-logo-web-3764.png"
"div","departments__body","Consolas
                                                            
                              ",""
"div","departments__links-wrapper","Consolas
                                                            
                              ",""
"div","departments__submenus-container","",""
"ul","departments__links","Consolas
                                                            
                              ",""
"li","departments__item mb-1 contenedorBuscador","",""
"span","","Consolas y Accesorios Consolas Retro Nintendo Playstation Tarjetas Digitales Videojuegos para chicos",""
"div","departments__submenu departments__submenu--type--menu","Videojuegos
                                                                                    
   ",""
"div","menu menu--layout--classic ","Videojuegos
                                                                                    
   ",""
"div","menu__submenus-container","",""
"ul","menu__list","Videojuegos
                                                                                    
   ",""
"span","","Videojuegos",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Consolas y Accesorios","/videojuegos/consolas-y-accesorios"
"span","","Videojuegos",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Consolas Retro","/videojuegos/consolas-retro"
"span","","Videojuegos",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Nintendo","/videojuegos/nintendo"
"span","","Videojuegos",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Playstation","/videojuegos/playstation"
"span","","Videojuegos",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Tarjetas Digitales","/videojuegos/tarjetas-digitales"
"span","","Videojuegos",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Videojuegos para chicos","/videojuegos/videojuegos-para-chicos"
"span","","Videojuegos",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Xbox","/videojuegos/xbox"
"span","","Videojuegos",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Preventas","/videojuegos/preventas"
"span","","Auriculares Joysticks Monitores Mousepads Mouses Teclados;",""
"div","departments__submenu departments__submenu--type--menu","Periféricos Gamer
                                                                                  ",""
"div","menu menu--layout--classic ","Periféricos Gamer
                                                                                  ",""
"div","menu__submenus-container","",""
"ul","menu__list","Periféricos Gamer
                                                                                  ",""
"span","","Periféricos Gamer",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Auriculares","/perifericos-gamer/auriculares"
"span","","Periféricos Gamer",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Joysticks","/perifericos-gamer/joysticks"
"span","","Periféricos Gamer",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Monitores","/perifericos-gamer/monitores"
"span","","Periféricos Gamer",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Mousepads","/perifericos-gamer/mousepads"
"span","","Periféricos Gamer",""
"div","menu__item-submenu-offset","",""
"a","menu__item-link","Mouses","/perifericos-gamer/mouses"
"span","","Periféricos Gamer",""
