tag,class,text_preview,is_valid,type
h3,h3 product-title,Teclado Royal Kludge Rk84 Wireless White Switch Brown 75%,,
div,product-reference text-muted,105750,,
div,product-price-and-shipping,$ 114.849,28,
div,product-description-short text-muted,El Royal Kludge RK84 Wireless White combina formato 75%,conexión inalámbrica,switches Brown suaves
dd,value,Red,,
h3,h3 product-title,Teclado Royal Kludge Rk84 Wireless White Switch Red 75%,,
div,product-reference text-muted,105749,,
div,product-description-short text-muted,El Royal Kludge RK84 Wireless White con switches Red ofrece respuesta lineal,conexión inalámbrica e,
h3,h3 product-title,Teclado Royal Kludge Rk84 Wireless Black Switch Brown 75%,,
div,product-reference text-muted,105004,,
div,product-description-short text-muted,El teclado RK84 Wireless Black con switches Brown ofrece una sensación táctil precisa. Compacto al 7,,
h3,h3 product-title,Mouse Logitech Vertical Lift For Ergo Negro,,
div,product-reference text-muted,105775,,
div,product-price-and-shipping,$ 92.317,89,
div,product-description-short text-muted,El Mouse Logitech Lift For Ergo ofrece un diseño vertical ergonómico que reduce la fatiga y mejora l,,
h3,h3 product-title,Teclado Royal Kludge Rkm70 Wireless Cyan Purple Switch Beige 75%,,
div,product-reference text-muted,105760,,
div,product-price-and-shipping,$ 119.078,34,
span,product-price,$ 95.262,67,
div,product-description-short text-muted,El Royal Kludge RKM70 Wireless Cyan Purple con switches Beige combina diseño vibrante en cian y viol,,
dd,value,Cream,,
h3,h3 product-title,Teclado Royal Kludge Rkm70 Wireless Cyan Purple Switch Cream 75%,,
div,product-reference text-muted,105759,,
div,product-description-short text-muted,El Royal Kludge RKM70 Wireless Cyan Purple combina un vibrante diseño en tonos cian y violeta con sw,,
dd,value,Beige,,
h3,h3 product-title,Teclado Royal Kludge Rkm70 Wireless Mokko Grey Switch Beige 75%,,
div,product-reference text-muted,105758,,
div,product-description-short text-muted,Teclado Royal Kludge RKM70 Wireless Mokko Grey con switches Cream. Diseño 75% compacto,conexión tri,
h3,h3 product-title,Teclado Royal Kludge Rkm70 Wireless Mokko Grey Switch Cream 75%,,
div,product-reference text-muted,105757,,
li,,2,,
span,magnitude,(1),,
span,magnitude,(6),,
span,magnitude,(4),,
span,magnitude,(18),,
span,magnitude,(2),,
span,magnitude,(61),,
h4,block-title facet-title sasa,Marca,,
span,magnitude,(3),,
span,magnitude,(21),,
span,magnitude,(60),,
label,facet-label,Scuf,,
span,magnitude,(19),,
label,facet-label,Cloud,,
span,magnitude,(7),,
span,magnitude,(27),,
label,facet-label,85%,,
label,facet-label,90%,,
label,facet-label,96%,,
span,magnitude,(9),,
div,elementor-column elementor-element elementor-element-ybnc38d elementor-col-20 elementor-top-column,Productos        ,,
div,elementor-widget elementor-element elementor-element-kxl0thn elementor-widget-text-editor,Legajo impositivo,,
div,elementor-widget elementor-element elementor-element-l0xh2td elementor-widget-text-editor,Av. de los Constituyentes 2985,CABA,Argentina
div,elementor-widget elementor-element elementor-element-bqttz1c elementor-widget-text-editor,Tel: (011) 6040.2020 Rotativas,,
div,elementor-widget elementor-element elementor-element-54ggykk elementor-widget-heading,RRSS,,
div,form-group row align-items-center ,Dirección de correo electrónico,,
div,ns-box ns-effect-thumbslider ns-text-only,Producto añadido a la lista de favoritos,,
div,flex-drop-carrito,Su pedido  Cantidad de Items  ($) VER,,
div,su-pedido,Su pedido  Cantidad de Items  ($),,
label,su-pedido-title,Su pedido,,
li,categoria arma-pc,Ofertas,,
div,drop,Componentes,,
div,drop,Telefonía,,
div,drop,Limpieza,,
li,categoria arma-pc,Empresas,,
li,categoria arma-pc,Seguir mi Pedido,,
li,categoria arma-pc,RMA - Garantia,,
ul,prods-slide-left productos-menu none,Notebooks Ver todas las notebooks  NOTEBOOKS POR TIPO Notebooks Basico  Notebooks Media  Notebooks G,,
div,prods-secc-interna,NOTEBOOKS POR TIPO Notebooks Basico  Notebooks Media  Notebooks Gaming,,
div,prods-secc-interna,NOTEBOOKS Notebooks AMD Notebooks Intel,,
li,secc-r,ALMACENAMIENTO Discos SSD Discos Externos USB Memorias SD - Pendrives  ACCESORIOS Mouse Inalámbricos,,
div,prods-secc-interna,ALMACENAMIENTO Discos SSD Discos Externos USB Memorias SD - Pendrives,,
div,prods-secc-interna,ACCESORIOS Mouse Inalámbricos Mochilas Pads,,
div,prods-secc-interna,MEMORIAS RAM Memorias Ram Sodimm,,
div,prods-secc-interna,PC POR TIPO PC Basic PC Media PC Alta,,
div,prods-secc-interna,PC ESCRITORIO,,
li,secc-r,SISTEMA OPERATIVO Microsoft Windows,,
div,prods-secc-interna,COMBOS AMD Combos Basic Combos Medio Combos Alto,,
div,prods-secc-interna,COMBOS CON KINGSTON,,
div,prods-secc-interna,COMPONENTES Placas de video Motherboards Microprocesadores Discos SSD Memorias Ram Gabinetes Fuentes,,
div,prods-secc-interna,ZONA NVIDIA Productos Nvidia,,
div,prods-secc-interna,ZONA AMD Productos AMD,,
div,prods-secc-interna,ZONA INTEL Productos Intel,,
div,prods-secc-interna,Accesorios Pasta Termica Cable MOD Bahia de Discos,,
div,prods-secc-interna,TECLADOS Teclados Mecánicos Teclados Membrana Teclados RGB Combo Teclados Key Caps Reposa Muñecas,,
div,prods-secc-interna,MOUSE Mouse Gamer Mouse Inalambrico,,
div,prods-secc-interna,PADS Pad Small Pad Medium Pad Large Pad ExtraLarge,,
li,secc-r,ESCRITORIOS Genesis  IMPRESORAS HP Pantum Tinta y Toner  PARLANTES Parlantes  JOYSTICKS Joystick  WE,,
div,prods-secc-interna,ESCRITORIOS Genesis,,
div,prods-secc-interna,IMPRESORAS HP Pantum Tinta y Toner,,
div,prods-secc-interna,PARLANTES Parlantes,,
div,prods-secc-interna,JOYSTICKS Joystick,,
div,prods-secc-interna,WEBCAMS Webcams,,
div,prods-secc-interna,MICROFONOS Microfonos,,
div,prods-secc-interna,SILLAS Sillas Gamer,,
div,prods-secc-interna,VOLANTES Y ACCESORIOS Volantes,,
div,prods-secc-interna,CELULARES Xioami,,
div,prods-secc-interna,TABLETS Amazon Fire,,
ul,prods-slide-left productos-menu none,Cables y Conectividad  CABLES Y ADAPTADORES Cable MOD HDMI  PLACAS DE RED Placas de Red USB Placas d,,
div,slide-back-menu-left,Cables y Conectividad,,
div,prods-secc-interna,CABLES Y ADAPTADORES Cable MOD HDMI,,
div,prods-secc-interna,PLACAS DE RED Placas de Red USB Placas de Red PCIe,,
div,prods-secc-interna,ROUTERS Routers,,
ul,prods-slide-left productos-menu none,Limpieza  Limpieza de computadoras Chemitec,,
div,prods-secc-interna,Limpieza de computadoras Chemitec,,
ul,prods-slide-left productos-menu none,Productos OUTLET  OUTLETS Productos OUTLET,,
div,slide-back-menu-left,Productos OUTLET,,
div,prods-secc-interna,OUTLETS Productos OUTLET,,
ul,prods-slide-left productos-menu none,COMBOS INTEL Combo Basic Combo Medio Combo Alto  COMBOS AMD Combo Basic Combo Medio Combo Alto,,
div,prods-secc-interna,COMBOS INTEL Combo Basic Combo Medio Combo Alto,,
div,prods-secc-interna,COMBOS AMD Combo Basic Combo Medio Combo Alto,,
div,theme-switch-wrapper-mob,Modo oscuro Modo claro,,
p,modo-oscuro-mob mb-0 none,Modo oscuro,,
p,modo-claro-mob mb-0,Modo claro,,
div,apertura-cat-principal,Cables y conectividad,,
div,columna-side columna-izquierda-side-secundario none,Ver todas las notebooks  NOTEBOOKS POR TIPO Notebooks Basico  Notebooks Media  Notebooks Gaming   NO,,
li,cat-secundaria,Ver todas las notebooks,,
div,cat-secundaria-titulo-icono,NOTEBOOKS POR TIPO,,
div,cat-secundaria-interno,Notebooks Basico  Notebooks Media  Notebooks Gaming,,
a,links-cat-secundaria-interno,Notebooks Basico,,
a,links-cat-secundaria-interno,Notebooks Media,,
a,links-cat-secundaria-interno,Notebooks Gaming,,
div,cat-secundaria-titulo-icono,NOTEBOOKS,,
div,cat-secundaria-interno,Notebooks AMD Notebooks Intel,,
a,links-cat-secundaria-interno,Notebooks AMD,,
a,links-cat-secundaria-interno,Notebooks Intel,,
div,columna-side columna-derecha-side-secundario none,ALMACENAMIENTO Discos SSD Discos Externos,,
div,cat-secundaria-interno,Discos SSD Discos Externos,,
a,links-cat-secundaria-interno,Discos SSD,,
a,links-cat-secundaria-interno,Memorias SD -,,
div,cat-secundaria-interno,Mouse Inalámbricos Mochilas Pads,,
a,links-cat-secundaria-interno,Mouse Inalámbricos,,
li,cat-secundaria,Memorias Ram Memorias Ram Sodimm,,
div,cat-secundaria-interno,Memorias Ram Sodimm,,
div,columna-side columna-izquierda-side-secundario none,Ver todas las computadoras  PC POR TIPO PC Basic PC Media PC Alta  SISTEMA OPERATIVO Microsoft Windo,,
li,cat-secundaria,Ver todas las computadoras,,
div,cat-secundaria-titulo-icono,PC POR TIPO,,
div,cat-secundaria-interno,PC Basic PC Media PC Alta,,
a,links-cat-secundaria-interno,PC Basic,,
a,links-cat-secundaria-interno,PC Media,,
a,links-cat-secundaria-interno,PC Alta,,
div,cat-secundaria-titulo-icono,SISTEMA OPERATIVO,,
div,cat-secundaria-interno,Microsoft Windows,,
div,columna-side columna-izquierda-side-secundario none,COMBO WEB,,
li,cat-secundaria,COMBOS ACTUALIZACIÓN INTEL Combos Basic Combos Medio Combos Alto  COMBOS ACTUALIZACIÓN AMD Combos Ba,,
div,cat-secundaria-titulo-icono,COMBOS ACTUALIZACIÓN INTEL,,
div,cat-secundaria-interno,Combos Basic,,
div,cat-secundaria-interno,Combos Medio,,
div,cat-secundaria-interno,Combos Alto,,
div,cat-secundaria-titulo-icono,COMBOS ACTUALIZACIÓN AMD,,
div,cat-secundaria-titulo-icono,COMBOS ACTUALIZACIÓN KINGSTON,,
div,cat-secundaria-interno,Armado de PC a medida,,
div,cat-secundaria-titulo-icono,COMPONENTES,,
div,cat-secundaria-interno,Placas de video Motherboards Microprocesadores Discos SSD Memorias Ram Gabinetes Fuentes Cpu coolers,,
a,links-cat-secundaria-interno,Cpu coolers - coolers,,
div,columna-side columna-derecha-side-secundario none,SISTEMA OPERATIVO Windows  ZONA NVIDIA Productos Nvidia  ZONA AMD Productos AMD  ZONA INTEL Producto,,
li,cat-secundaria,SISTEMA OPERATIVO Windows,,
div,cat-secundaria-interno,Windows,,
div,cat-secundaria-titulo-icono,ZONA NVIDIA,,
div,cat-secundaria-interno,Productos Nvidia,,
div,cat-secundaria-titulo-icono,ZONA AMD,,
div,cat-secundaria-interno,Productos AMD,,
div,cat-secundaria-titulo-icono,ZONA INTEL,,
div,cat-secundaria-interno,Productos Intel,,
li,cat-secundaria,Accesorios Cable MOD Pasta Termica Bahia de Discos,,
div,cat-secundaria-interno,Cable MOD Pasta Termica Bahia de Discos,,
a,links-cat-secundaria-interno,Cable MOD,,
a,links-cat-secundaria-interno,Pasta Termica,,
a,links-cat-secundaria-interno,Bahia de Discos,,
div,columna-side columna-izquierda-side-secundario none,MONITORES Proyectores Smart TV Monitores LED Monitores 75Hz - 100Hz Monitores 120Hz - 144Hz Monitore,,
div,cat-secundaria-interno,Smart TV,,
div,cat-secundaria-interno,Monitores LED,,
div,cat-secundaria-interno,Monitores 75Hz - 100Hz,,
div,cat-secundaria-interno,Monitores 120Hz - 144Hz,,
div,cat-secundaria-interno,Monitores 165Hz - 170Hz,,
div,cat-secundaria-interno,Monitores 240Hz - 360Hz,,
div,columna-side columna-izquierda-side-secundario none,TECLADOS Teclados Mecánicos Teclados Membrana Teclados RGB Combo Teclados Key Caps Reposa Muñecas  M,,
div,cat-secundaria-interno,Teclados Mecánicos Teclados Membrana Teclados RGB Combo Teclados Key Caps Reposa Muñecas,,
a,cat-secundaria-interno-link,Teclados Mecánicos,,
a,cat-secundaria-interno-link,Teclados Membrana,,
a,cat-secundaria-interno-link,Teclados RGB,,
a,cat-secundaria-interno-link,Combo Teclados,,
a,cat-secundaria-interno-link,Key Caps,,
a,cat-secundaria-interno-link,Reposa Muñecas,,
div,cat-secundaria-interno,Mouse Gamer Mouse Inalambrico,,
a,cat-secundaria-interno-link,Mouse Inalambrico,,
div,cat-secundaria-titulo-icono,PADS,,
div,cat-secundaria-interno,Pad Small Pad Medium Pad Large Pad ExtraLarge,,
a,links-cat-secundaria-interno,Pad Small,,
a,links-cat-secundaria-interno,Pad Medium,,
a,links-cat-secundaria-interno,Pad Large,,
a,links-cat-secundaria-interno,Pad ExtraLarge,,
a,cat-secundaria-interno-link,Auriculares Gamer,,
a,cat-secundaria-interno-link,Auriculares Estereo,,
a,cat-secundaria-interno-link,Auriculares Surround,,
a,cat-secundaria-interno-link,Auriculares para Celular,,
div,columna-side columna-derecha-side-secundario none,JOYSTICKS Joystick  WEBCAMS Webcams  VOLANTES Y ACCESORIOS Volantes  ESCRITORIOS Genesis  IMPRESORAS,,
div,cat-secundaria-titulo-icono,WEBCAMS,,
div,cat-secundaria-titulo-icono,VOLANTES Y ACCESORIOS,,
div,cat-secundaria-titulo-icono,ESCRITORIOS,,
div,cat-secundaria-interno,Genesis,,
div,cat-secundaria-titulo-icono,IMPRESORAS,,
div,cat-secundaria-interno,HP Pantum Tinta y Toner,,
a,links-cat-secundaria-interno,Pantum,,
a,links-cat-secundaria-interno,Tinta y Toner,,
li,cat-secundaria,CELULARES Xiaomi,,
div,cat-secundaria-titulo-icono,CELULARES,,
div,cat-secundaria-interno,Haxly,,
div,cat-secundaria-titulo-icono,TABLETS,,
div,cat-secundaria-interno,Amazon Fire,,
div,columna-side columna-izquierda-side-secundario none,PLACAS DE RED - ROUTERS Placas de Red USB Placas de Red PCIe Routers  CABLES Y ADAPTADORES Cable MOD,,
li,cat-secundaria,PLACAS DE RED - ROUTERS Placas de Red USB Placas de Red PCIe Routers,,
div,cat-secundaria-titulo-icono,PLACAS DE RED - ROUTERS,,
div,cat-secundaria-interno,Placas de Red USB Placas de Red PCIe Routers,,
a,links-cat-secundaria-interno,Placas de Red USB,,
a,links-cat-secundaria-interno,Placas de Red PCIe,,
div,cat-secundaria-interno,Cable MOD HDMI,,
a,links-cat-secundaria-interno,HDMI,,
div,cat-secundaria-titulo-icono,Limpieza de computadoras,,
div,cat-secundaria-interno,Chemitec,,
div,cat-secundaria-titulo-icono,OUTLETS,,
p,mb-2 small mt-0 fs-6,Ver todas las Pc Gamer,,
p,mb-2 small mt-0 fs-6,PC Gamer linea básica,,
p,mb-2 small mt-0 fs-6,PC Gamer linea media,,
p,mb-2 small mt-0 fs-6,PC Gamer linea alta,,
p,mb-2 small mt-0 fs-6,Socket Amd AM4,,
p,mb-2 small mt-0 fs-6,Socket Amd AM5,,
p,mb-2 small mt-0 fs-6,Socket Intel 1200,,
p,mb-2 small mt-0 fs-6,Socket Intel 1700,,
p,mb-2 small mt-0 fs-6,Ver todas las Placa de Video,,
p,mb-2 small mt-0 fs-6,Placas de Video Nvidia,,
p,mb-2 small mt-0 fs-6,Placas de Video AMD,,
p,mb-2 small mt-0 fs-6,Ver todas las Notebooks Gamer,,
p,mb-2 small mt-0 fs-6,Notebook Lenovo,,
p,mb-2 small mt-0 fs-6,Notebook HP,,
p,mb-2 small mt-0 fs-6,Notebook Asus,,
p,mb-2 small mt-0 fs-6,Notebook Acer,,
p,mb-2 small mt-0 fs-6,Notebook Thunderobot,,
p,mb-2 small mt-0 fs-6,Monitores 144hz,,
p,mb-2 small mt-0 fs-6,Monitores 165hz,,
p,mb-2 small mt-0 fs-6,Monitores 240hz,,
p,mb-2 small mt-0 fs-6,Monitores Samsung,,
p,mb-2 small mt-0 fs-6,Monitores LG,,
p,mb-2 small mt-0 fs-6,Monitores Gigabyte,,
p,mb-2 small mt-0 fs-6,Monitores Asus,,
p,mb-2 small mt-0 fs-6,Monitores AOC,,
p,mb-2 small mt-0 fs-6,Discos,,
div,col-md-2 col-lg-2 col-xl-2 mx-auto mb-4,Computadoras Gamer,,
p,mb-0,Conocé tus derechos,,
p,mb-0,Seguir mi pedido,,
div,col-12 col-md-3 mb-2,Unite al Equipo Maximus,,
div,row,Eso que querés.. buscalo acá,,
div,header__usuario,Bienvenida/o Usuario                ,,
a,login-button,Ingresar a mi usuario,,
ul,dl-menu-reps,TodosDiscos Duros MecánicosDiscos Sólidos SSD ,,
li,l-menu-resp,Discos Duros Mecánicos,,
div,sidenav,DesktopNotebook,,
div,sidenav,AMDIntel,,
li,l-menu-resp,Pastas Térmicas,,
li,l-menu-resp,Placas de Red,,
div,sidenav,Coolers y Water CoolersFan Coolers,,
li,l-menu-resp,PC de escritorio,,
ul,dl-menu-reps,TodosPCs de EscritorioMini PCsCombos de ActualizaciónPowered By Asus,,
li,l-menu-resp,PCs de Escritorio,,
li,l-menu-resp,Mini PCs,,
li,l-menu-resp,Powered By Asus,,
ul,dl-menu-reps,Todos19 a 26 pulgadas27 a 32 pulgadas33 pulgadas y superiorProyectores y Pantallas,,
li,l-menu-resp,19 a 26 pulgadas,,
li,l-menu-resp,27 a 32 pulgadas,,
li,l-menu-resp,33 pulgadas y superior,,
li,l-menu-resp,Proyectores y Pantallas,,
ul,dl-menu-reps,TodosTecladosGaming KitTeclados + MouseMousepadsMouse ,,
li,l-menu-resp,Gaming Kit,,
li,l-menu-resp,Teclados + Mouse,,
div,sidenav,GamerOficina y Urbano,,
div,sidenav,Para PcPortátiles,,
li,l-menu-resp,Joystick y Volantes,,
li,l-menu-resp,Punteros Láser y Presentadores,,
li,l-menu-resp,Lectores Código de Barras,,
li,l-menu-resp,Modem Router,,
li,l-menu-resp,Impresión y Scanners,,
ul,dl-menu-reps,TodosImpresoras LáserImpresoras Sistema ContínuoImpresoras Inyección de TintaImpresoras Térmicas ,,
li,l-menu-resp,Impresoras Láser,,
li,l-menu-resp,Impresoras Sistema Contínuo,,
li,l-menu-resp,Impresoras Inyección de Tinta,,
li,l-menu-resp,Impresoras Térmicas,,
li,l-menu-resp,Impresión 3D,,
div,sidenav,Impresoras 3DConsumibles,,
li,l-menu-resp,Toners,,
li,l-menu-resp,Cartuchos de Tinta,,
li,l-menu-resp,Relojes SmartWatch,,
li,l-menu-resp,Almacenamiento Portátil,,
ul,dl-menu-reps,TodosMicroSDPendrivesDiscos Externos,,
li,l-menu-resp,Televisores y TV Box,,
ul,dl-menu-reps,TodosSmart TVsTV Box,,
li,l-menu-resp,Smart TVs,,
li,l-menu-resp,TV Box,,
li,l-menu-resp,Camaras IP,,
ul,dl-menu-reps,TodosFundas y MochilasBases RrefrigerantesCargadoresCablesMerchandising,,
li,l-menu-resp,Fundas y Mochilas,,
li,l-menu-resp,Bases Rrefrigerantes,,
li,l-menu-resp,Merchandising,,
li,l-menu-resp,Sillas Gamers,,
ul,dl-menu-reps,TodosSillas Gamer,,
ul,dl-menu-reps,TodosEstabilizadoresUPSZapatillas,,
li,l-menu-resp,UPS,,
li,l-menu-resp,Zapatillas,,
div,sub-submenu-cont clearfix,Desktop,,
div,sub-submenu-cont clearfix,Coolers y Water Coolers,,
a,subcategory-title,Fan Coolers,,
div,sub-submenu-cont clearfix,Gamer,,
a,subcategory-title,Oficina y Urbano,,
div,sub-submenu-cont clearfix,Para Pc,,
a,subcategory-title,Portátiles,,
a,subcategory-title,Consumibles,,
span,li-title,Micros,,
span,li-title,¡Preciazos!,,
div,titleDetalle cat-breadcrumb,periféricos,,
div,col-sm-8 col-md-6,Marcas,,
div,product-box-body clearfix,Precio en un pago:                ,,
h3,product-box-title,Mouse Pad Venex,,
a,product-box-price clearfix,$ 4.149,,
p,product-box-payment,Contado efectivo,,
h3,product-box-title,Mouse Genius Dx-110 USB Black,,
a,product-box-price clearfix,$ 3.999,,
h3,product-box-title,Mouse Genius DX-120 USB Black,,
a,product-box-price clearfix,$ 4.199,,
h3,product-box-title,Mouse Genius DX-110 USB-C Black,,
a,product-box-price clearfix,$ 4.999,,
a,product-box-price clearfix,$ 8.499,,
h3,product-box-title,Mouse Inalambrico Genius NX-7000 Azul,,
a,product-box-price clearfix,$ 7.999,,
h3,product-box-title,Mouse Inalambrico Genius NX-7000 Black,,
h3,product-box-title,Teclado Genius KB-100 SP USB Black,,
a,product-box-price clearfix,$ 8.199,,
h3,product-box-title,Teclado Genius KB 116 SP USB Black,,
a,product-box-price clearfix,$ 8.399,,
h3,product-box-title,Mouse Logitech M110 Silent,,
a,product-box-price clearfix,$ 8.490,,
h3,product-box-title,Mouse Logitech M110 Silent Red 2024,,
h3,product-box-title,Mouse Optico M100 Logitech,,
div,row,12345...,,
a,pageResults,3,,
a,pageResults,4,,
a,pageResults,5,,
a,pageResults,...,,
a,btn btn-contact btn-write,Chateanos,,
div,address row,VENEX PICKUP POINT ,,
div,title,VENEX PICKUP POINT,,
div,visible-xs,Buenos Aires: Lunes a Viernes de 10 a 18h.Córdoba: Lunes a Viernes de 10 a 18h.,,
div,title-text,SÉ EL PRIMERO EN ENTERARTE,,
div,modal-dialog,×,,
h4,modal-title,Formas de pago,,
div,methods-card-costs,Visa - Mastercard        ,,
h3,methods-card-title,Visa - Mastercard,,
div,table-responsive,Cuotas,,
div,methods-card-costs,Naranja        ,,
h3,methods-card-title,Naranja,,
div,form-group,Nro. de orden,,
label,label_form,(Del titular o de quien recibe/retira),,
div,modal-footer,Ok,entiendo,
h4,modal-title,Envío domicilio,,
div,form-control home-delivery,ENVÍO EXPRESS,,
label,label_form ,Provincias,,
div,form-control,Córdoba,,
label,label_form ,Zonas disponibles Córdoba,,
div,col-xs-24 content_shipping_costs costCba,Costo de envío:,,
div,form-control home-delivery,ENVÍO VÍA OCA,,
h4,modal-title,Puntos de retiro en todo el país,,
div,clearfix section_page ,Costo de envío: 0,,
div,timeShipping,Tiempo de entrega estimado: Hasta 7 días habíles como mínimo.,,
div,blueimp-gallery blueimp-gallery-controls,<,,
a,next,>,,
div,modal-footer,Previous,,
button,btn btn-primary next,Next,,
div,mb-2 mb-md-1,(),,
div,mb-2 mb-md-1,x,,
ul,list-subitems,SSD,,
ul,list-subitems,OUTLET / Usadas,,
div,js-modal-private modal modal-bottom modal-md-bottom modal-width-small modal-md-width-small ,Idiomas y monedas,,
div,modal-body ,Argentina,,
a,btn-link font-small ml-1,ver otros acá,,
div,js-visible-on-cart-filled,Subtotal,,
span,js-subtotal-shipping-wording,(sin envío),,
span,js-ajax-cart-total js-cart-subtotal text-right,$0,00,
span,js-promo-in,en,,
span,js-promo-all,todos los productos,,
span,js-promo-units-or-more,o más,,
div,js-shipping-calculator-with-zipcode  mb-4 w-100 transition-up position-absolute,Entregas para el CP:,,
a,js-shipping-calculator-change-zipcode btn btn-link font-small,Cambiar CP,,
span,js-calculating-shipping-wording,Calculando,,
a,btn btn-link font-small,No sé mi código postal,,
div,js-ship-calculator-error js-ship-calculator-external-error alert alert-danger mb-0,El calculo falló por un problema con el medio de envío. Por favor intentá de nuevo en unos segundos.,,
div,d-grid grid-1-auto mb-3 h6 font-family-body,Total:,,
div,text-center,Ver más productos,,
div,d-md-none text-right font-small mb-1,39 productos,,
p,font-small mt-1 mb-0,Periféricos esenciales para optimizar tu setup. Desde teclados y mouse especiales para gaming hasta ,,
div,font-smallest font-weight-bold,Más vendidos,,
li,radio-button-item,Precio: menor a mayor,,
li,radio-button-item,Precio: mayor a menor,,
li,radio-button-item,A - Z,,
li,radio-button-item,Z - A,,
li,radio-button-item,Más nuevo al más viejo,,
li,radio-button-item,Más viejo al más nuevo,,
span,font-big mr-2,Ordenando productos,,
div,labels product-labels,Sin stock,,
div,js-shipping-label-private js-free-shipping-minimum-label label shipping-label,Gratis,,
div,product-item-information d-flex flex-column pt-3 pb-2,Combo Gamer 3 en 1 QBox - AURICULAR + TECLADO + MOUSE,,
span,js-price-display product-item-price ,$76.909,00,
span,product-item-discount text-accent font-medium ml-2,0% OFF,,
div,js-max-installments product-installments installment-no-interest,6,,
span,js-installment-price product-installment-value,$12.818,17,
span,js-payment-discount-price-product payment-discount-price-product ,$65.372,65,
div,js-last-product text-stock font-small mt-2,¡No te lo pierdas,es el último!,
div,js-latest-products-available text-stock font-small mt-2,¡Solo quedan 14 en stock!,,
span,js-product-stock,14,,
div,product-item-information d-flex flex-column pt-3 pb-2,Adaptador Wifi Usb Placa Red Mercusys Mu6h Ac650 Dual Band,,
span,js-price-display product-item-price ,$13.030,00,
span,js-installment-price product-installment-value,$2.171,67,
span,js-payment-discount-price-product payment-discount-price-product ,$11.075,50,
div,text-stock font-small mt-2,¡Solo quedan 61 en stock!,,
span,js-product-stock,61,,
div,product-item-information d-flex flex-column pt-3 pb-2,KIT GAMER MECÁNICO T-DAGGER MAIN FORCE NEGRO 60% F 2 EN 1 TGS008W - NG,,
span,js-price-display product-item-price ,$81.552,00,
span,js-compare-price-display product-item-price-compare order-first mb-1,$124.264,00,
span,product-item-discount text-accent font-medium ml-2,34% OFF,,
span,js-offer-percentage,34,,
span,js-installment-price product-installment-value,$13.592,00,
span,js-payment-discount-price-product payment-discount-price-product ,$69.319,20,
div,js-latest-products-available text-stock font-small mt-2,¡Solo quedan 25 en stock!,,
span,js-product-stock,25,,
div,product-item-information d-flex flex-column pt-3 pb-2,AURICULAR QBOX H039 GAMER NG,,
span,js-price-display product-item-price ,$18.233,00,
span,js-installment-price product-installment-value,$3.038,83,
span,js-payment-discount-price-product payment-discount-price-product ,$15.498,05,
div,text-stock font-small mt-2,¡Solo quedan 70 en stock!,,
span,js-product-stock,70,,
div,product-item-information d-flex flex-column pt-3 pb-2,TECLADO QBOX MK07 RGB USB MEC GAMER,,
span,js-price-display product-item-price ,$33.943,00,
span,js-installment-price product-installment-value,$5.657,17,
span,js-payment-discount-price-product payment-discount-price-product ,$28.851,55,
div,text-stock font-small mt-2,¡Solo quedan 16 en stock!,,
span,js-product-stock,16,,
div,product-item-information d-flex flex-column pt-3 pb-2,Gamepad Redragon JUNO Bluetooth gamepad G818 PE16142,,
span,js-price-display product-item-price ,$77.062,00,
span,js-compare-price-display product-item-price-compare order-first mb-1,$113.802,00,
span,product-item-discount text-accent font-medium ml-2,32% OFF,,
span,js-offer-percentage,32,,
span,js-installment-price product-installment-value,$12.843,67,
span,js-payment-discount-price-product payment-discount-price-product ,$65.502,70,
div,text-stock font-small mt-2,¡Solo quedan 5 en stock!,,
div,product-item-information d-flex flex-column pt-3 pb-2,MOUSE QBOX GAMER M993 RGB USB NG,,
span,js-price-display product-item-price ,$23.569,00,
span,js-installment-price product-installment-value,$3.928,17,
span,js-payment-discount-price-product payment-discount-price-product ,$20.033,65,
div,text-stock font-small mt-2,¡Solo quedan 96 en stock!,,
span,js-product-stock,96,,
div,product-item-information d-flex flex-column pt-3 pb-2,WEBCAM TRUST TANOR FULL HD - NG,,
span,js-price-display product-item-price ,$45.679,00,
span,js-installment-price product-installment-value,$7.613,17,
span,js-payment-discount-price-product payment-discount-price-product ,$38.827,15,
div,text-stock font-small mt-2,¡Solo quedan 1 en stock!,,
div,product-item-information d-flex flex-column pt-3 pb-2,TECLADO REDRAGON KUMARA NEGRO (RED SWITCH) ESPAÑOL RAINBOW K552-KR-SP PE1621 - NG,,
span,js-price-display product-item-price ,$70.776,00,
span,js-compare-price-display product-item-price-compare order-first mb-1,$81.731,00,
span,product-item-discount text-accent font-medium ml-2,13% OFF,,
span,js-offer-percentage,13,,
span,js-installment-price product-installment-value,$11.796,00,
span,js-payment-discount-price-product payment-discount-price-product ,$60.159,60,
div,text-stock font-small mt-2,¡Solo quedan 2 en stock!,,
div,product-item-information d-flex flex-column pt-3 pb-2,Mouses Redragon Storm Pro Negro M808-KS PE1665,,
span,js-price-display product-item-price ,$76.735,86,
span,js-installment-price product-installment-value,$12.789,31,
span,js-payment-discount-price-product payment-discount-price-product ,$65.225,48,
div,text-stock font-small mt-2,¡Solo quedan 7 en stock!,,
span,js-product-stock,7,,
div,product-item-information d-flex flex-column pt-3 pb-2,TECLADO T-DAGGER ARENA VERDE/BLANCO (BROWN SWITCH) T-TGK321W-BR-SP PE1627 - NG,,
